NAME,PROV,ARA,RHA,GAL,GLU,XYL,MAN,INS_LIG,SOL_LIG,TOT_LIG,HOLO,A_CELL,HEMICELL,FIB_LNGTH,MFA ,MFA_YR1,DENS,CRYST,S2G,PHB
CHKD-19-3,CHKD,0.595941187,0.525769957,0.565689483,50.4921284,16.84751357,2.887908414,19.60912052,1.819159017,21.42827954,67.4571805,39.68814656,27.76903394,0.867,17.37,20.36,421.94,53.19,72.28,3.952960211
CHKD-19-4,CHKD,0.55191309,0.541660433,0.746112901,54.24914577,17.70131825,2.973030815,20.45454545,2.306732094,22.76127755,71.36422136,42.80543034,28.55879103,0.679,20.12,20.24,426.11,58.14,76.94,0.494871072
CHKD-19-5,CHKD,0.424146533,0.336622092,0.48661462,47.57559382,19.36927537,3.061964939,20.44444444,2.293362193,22.73780664,72.4881996,38.83620268,33.65199691,0.764,18.56,19.88,409.77,51.02,73.05,0.746196182
CHWH-27-1 ,CHWH,0.447006698,0.547566814,0.652854305,51.99427753,17.5346527,3.349041001,20.81185567,2.183868322,22.99572399,72.24036577,42.36675781,29.87360796,0.619,14.13,15.69,388.4,52.08,70.05,1.864931889
CHWH-27-3,CHWH,0.533546853,0.525391797,0.677519382,52.68937424,17.28947266,2.803451963,20.08271494,2.343046756,22.4257617,69.03796352,40.39378111,28.64418241,0.901,17.72535,19.0430125,380.44,49.92778525,72.22253164,1.154945163
CHWH-27-5 ,CHWH,0.551066374,0.582457434,0.606235489,52.33178326,17.90633007,2.620282205,20.2268431,2.255599473,22.48244257,72.18406593,42.55384578,29.63022015,0.979,17.37,21.56,355.79,50,73.13,1.415787499
CHWI-27-4 ,CHWI,0.549468477,0.683012055,0.751134995,52.38875971,18.51240371,3.053273987,19.63613551,1.999087487,21.635223,67.60982874,41.06836393,26.54146482,0.95,12.45,19.04,434.82,50.51,73.34,0.692183429
CHWJ-27-1 ,CHWJ,0.614229486,0.73206085,0.721419076,53.19573486,17.42751286,2.634723988,19.67320261,2.233719548,21.90692216,67.11538462,41.22669576,25.88868886,0.805,21.08,20.96,387.02,44.44,71.76,3.516196997
CHWK-27-2 ,CHWK,0.547456644,0.664175991,0.463641183,49.06897472,19.6935294,2.969279552,18.87026691,1.946193781,20.8164607,70.20348837,41.46020222,28.74328615,0.872,16.05,18.32,358.88,52.36,70.38,2.764736625
CHWK-27-3 ,CHWK,0.647449409,0.719176925,0.585715106,45.88157891,19.47136461,3.567523331,18.49677041,2.105642449,20.60241285,68.14516129,40.01521769,28.1299436,0.828,17.25,20.12,399.74,49.26,72.89,1.144382449
CHWK-27-4 ,CHWK,0.521863984,0.60784596,0.601140775,50.53011668,19.05697147,3.379036485,19.88832346,2.105612069,21.99393553,70.63855794,41.41739815,29.22115979,0.8675,16.2879,19.7617375,409.98,52.15265517,70.42213863,1.295548807
CMBF-28-1 ,CMBF,0.506253835,0.389737925,0.568702673,52.66209305,17.60768997,2.123039757,17.07768187,1.809242237,18.88692411,68.7585266,41.15252238,27.60600422,0.954,14.01,20.36,420.15,50,68.64,3.397666982
CMBF-28-2 ,CMBF,0.581572584,0.603238439,0.559708578,47.5176074,19.70344284,2.605210942,18.45386534,2.010740195,20.46460553,68.36236934,40.92987648,27.43249286,0.935,16.77,17.13,437.35,53.48,71.89,1.645900968
CMBF-28-3 ,CMBF,0.943848593,1.720196067,0.604654427,51.53468182,17.87765026,2.234689821,18.35985312,1.884889285,20.24474241,67.95413398,39.22223408,28.7318999,1.01,17.49,16.77,397.58,48.54,69.34,1.596163504
CMBF-28-4 ,CMBF,0.567225324,0.589730595,0.563097139,50.65029337,17.85155922,2.579338449,19.88950276,2.028656733,21.9181595,68.48225214,40.28864754,28.19360461,,18.68,18.8,411.16,48.54,69.24,2.642473539
CNYH-28-1 ,CNYH,0.6029292,0.950194593,0.449798521,49.14513476,19.18929825,2.711368233,16.32782719,2.088252281,18.41607947,69.54703833,37.65716336,31.88987496,0.851,20.12,21.08,371.78,46.3,72.65,1.735654929
CNYH-28-2 ,CNYH,0.475821808,0.539156086,0.382860797,49.38648477,18.92174066,3.444124332,18.54419411,2.1464734,20.69066751,68.45679012,37.47669814,30.98009198,0.773,19.76,19.04,426.93,51.02,71.37,3.276529711
CNYH-28-3,CNYH,0.501249132,0.45380587,0.540412295,51.70111415,19.16269484,2.393679526,15.75091575,2.288128538,18.03904429,70.49780381,41.75484401,28.74295979,0.873,16.41,18.68,401.99,52.91,70.83,0.696746655
CNYH-28-4 ,CNYH,0.626418221,1.006595311,0.525848852,46.76595701,19.17831785,2.812781704,18.58349578,2.296060015,20.87955579,66.71511628,38.78532187,27.92979441,,12.81,16.77,382.58,48.31,70.21,1.427549956
CNYH-28-5 ,CNYH,0.470182903,,0.607959993,49.83874821,17.53545046,3.027790751,18.84406984,2.29357999,21.13764983,66.31430585,35.34647539,30.96783046,,13.41,18.2,363.73,52.63,71.38,2.152570233
CSYJ-28-1 ,CSYJ,0.650846559,0.799080631,0.437627465,49.95808588,20.07865849,3.22223754,16.4418754,2.143282536,18.58515794,68.17359855,39.95447822,28.21912034,1.006,19.04,20.36,398.89,47.85,70.13,1.883649104
CSYJ-28-3 ,CSYJ,0.849002802,1.112290189,0.49850743,50.54934856,20.88201645,3.59200741,17.45502998,2.241354249,19.69638423,68.7575392,39.25609362,29.50144558,0.834,17.73,18.92,399.55,47.17,71.06,1.397021732
DENA-17-2,DENA,0.565193734,0.941339209,0.400184709,50.42230106,19.7154345,2.481877868,19.64866623,2.371828237,22.02049447,70.1986755,40.44666943,29.75200607,0.484,21.8,21.92,367.5,50.51,71.76,0.50215042
DENA-17-4 ,DENA,0.471710391,0.428777644,0.431062704,47.5037969,20.69003024,3.197056882,18.69688385,2.19160443,20.88848828,70.67620286,42.22064569,28.45555717,0.826,20.12,23,389.19,42.37,70.81,0.695651129
DENB-17-1 ,DENB,0.44535351,0.61978524,0.52164424,56.96997909,16.37147954,2.233424117,13.32189823,2.265450387,15.58734861,69.44083225,43.30150922,26.13932303,0.94,16.17,19.52,404.04,51.55,74.04,1.253749939
DENB-17-2 ,DENB,0.655721645,0.748416539,0.623112348,47.08574443,17.89904423,2.796891995,17.48021108,2.461921324,19.94213241,70.17654477,41.41797044,28.75857433,0.94,19.04,19.52,380.98,49.26,73.88,1.118482857
DENB-17-3 ,DENB,0.701977665,0.686340669,0.783262765,50.15349048,17.69536239,1.982571279,17.70428016,2.269897418,19.97417757,67.16519375,41.93408988,25.23110386,0.771,18.92,24.07,445.45,52.63,70.53,2.34997376
DENB-17-4 ,DENB,0.607170433,0.774512733,0.649495964,49.21026733,16.69135438,2.46433373,16.59134926,2.25356535,18.84491461,70.53206003,44.70145739,25.83060264,0.975,15.81,16.29,387.05,49.5,71.48,0.862226884
DENC-17-2 ,DENC,0.679418871,0.907768297,0.604116408,48.76980393,18.6865356,2.441551591,18.63715783,2.344813893,20.98197173,64.02877698,42.02043475,22.00834222,,21.56,21.2,426.02,48.08,70.93,2.247000607
DENC-17-3,DENC,0.521273403,0.756270354,0.573246956,49.13328921,18.61104803,2.252766834,16.72913539,2.404064312,19.1331997,70.69077402,42.87424722,27.8165268,0.917,20.66014375,21.49865625,447.93,50.90673575,73.12791502,0.319138541
DENC-17-4 ,DENC,0.531725644,0.792449929,0.774806168,53.58269347,16.49260451,2.640958425,15.94643944,2.119542965,18.0659824,69.79645437,44.50645819,25.28999618,0.962,10.42,13.77,446.09,54.35,72.91,0.941125388
DENC-17-5 ,DENC,0.507131863,,0.703180395,52.67151744,16.27800099,2.284133126,17.19662557,1.989823609,19.18644918,69.81004071,45.56933606,24.24070465,0.801,17.49,19.64,454.07,50.25,71.86,1.190716849
DEND-17-1 ,DEND,0.555843264,0.748946237,0.542012187,48.40270964,17.93562412,2.796225357,16.99073448,1.990740174,18.98147466,70.35052062,42.80624673,27.5442739,0.971,18.0847125,20.30078125,458.525,50.58763413,71.60552497,0.712050114
DEND-17-3 ,DEND,0.593802544,0.670809679,0.55265524,48.55967513,15.99288145,2.489130147,17.17171717,2.356232782,19.52794995,73.23446328,44.74997851,28.48448477,0.975,15.93,18.92,352.58,48.08,71.51,1.544940854
DEND-17-5 ,DEND,0.500523802,0.633344781,0.562996614,46.26073606,18.86044294,2.883121106,15.88310038,2.444264757,18.32736514,70.720423,41.99365812,28.72676488,0.777,20.6,21.44,507.05,46.73,73.63,0.335312062
LILC-26-4,LILC,0.494517559,0.520946464,0.572358725,51.74706113,15.95588505,2.102642953,14.48954697,2.163966805,16.65351378,71.12527828,42.14720571,28.97807257,0.906,18.62375625,22.0377,412.075,50.19625604,72.62723453,1.127376447
ELAD-25-3 ,ELAD,0.517092789,0.563731311,0.545321333,49.99568036,16.97960534,2.704684449,16.43073022,2.412293675,18.84302389,68.30969448,41.73199361,26.57770087,0.949,14.4910875,16.70715625,430.305,49.83018073,72.46089104,1.742584839
ELAD-25-4 ,ELAD,0.597652991,0.618278293,0.531750358,45.82323015,17.19323265,3.230296054,18.8976378,2.051807445,20.94944524,68.46590909,39.51922086,28.94668823,0.864,18.08,17.85,347.55,43.1,66.98,1.987002491
